109;SK0211501654;Jahodná;Jahodná;Jahodná;501654
110;SK0211501662;Janíky;Janíky;Janíky;501662
111;SK0211501671;Jurová;Jurová;Jurová;501671
112;SK0211501689;Kľúčovec;Kľúčovec;Kľúčovec;501689
113;SK0211501697;Kostolné Kračany;Kostolné Kračany;Kostolné Kračany;501697
114;SK0211501701;Kráľovičove Kračany;Kráľovičove Kračany;Kráľovičove Kračany;501701
115;SK0211501719;Kútniky;Kútniky;Kútniky;501719
116;SK0211501727;Kvetoslavov;Kvetoslavov;Kvetoslavov;501727
117;SK0211501735;Lehnice;Lehnice;Lehnice;501735
118;SK0211501743;Lúč na Ostrove;Lúč na Ostrove;Lúč na Ostrove;501743
119;SK0211501760;Medveďov;Medveďov;Medveďov;501760
120;SK0211501778;Mierovo;Mierovo;Mierovo;501778
121;SK0211501786;Michal na Ostrove;Michal na Ostrove;Michal na Ostrove;501786
122;SK0211501808;Nový Život;Nový Život;Nový Život;501808
123;SK0211501816;Ohrady;Ohrady;Ohrady;501816
124;SK0211501824;Okoč;Okoč;Okoč;501824
125;SK0211501832;Oľdza;Oľdza;Oľdza;501832
126;SK0211501859;Orechová Potôň;Orechová Potôň;Orechová Potôň;501859
127;SK0211501867;Padáň;Padáň;Padáň;501867
128;SK0211501875;Sap;Sap;Sap;501875
129;SK0211501883;Pataš;Pataš;Pataš;501883
130;SK0211501891;Rohovce;Rohovce;Rohovce;501891
131;SK0211501905;Šamorín;Šamorín;Šamorín;501905
132;SK0211501913;Štvrtok na Ostrove;Štvrtok na Ostrove;Štvrtok na Ostrove;501913
133;SK0211501921;Topoľníky;Topoľníky;Topoľníky;501921
134;SK0211501930;Ňárad;Ňárad;Ňárad;501930
135;SK0211501956;Trnávka;Trnávka;Trnávka;501956
136;SK0211501964;Trstená na Ostrove;Trstená na Ostrove;Trstená na Ostrove;501964
137;SK0211501972;Veľká Paka;Veľká Paka;Veľká Paka;501972
138;SK0211501981;Veľké Blahovo;Veľké Blahovo;Veľké Blahovo;501981
139;SK0211501999;Vojka nad Dunajom;Vojka nad Dunajom;Vojka nad Dunajom;501999
140;SK0211502006;Vrakúň;Vrakúň;Vrakúň;502006
141;SK0211502014;Vydrany;Vydrany;Vydrany;502014
142;SK0211502022;Zlaté Klasy;Zlaté Klasy;Zlaté Klasy;502022
143;SK0211503461;Bodíky;Bodíky;Bodíky;503461
144;SK0211555517;Bellova Ves;Bellova Ves;Bellova Ves;555517
145;SK0211555541;Dunajský Klátov;Dunajský Klátov;Dunajský Klátov;555541
146;SK0211555568;Horné Mýto;Horné Mýto;Horné Mýto;555568
147;SK0211555576;Trhová Hradská;Trhová Hradská;Trhová Hradská;555576
148;SK0211555606;Macov;Macov;Macov;555606
149;SK0211555649;Mad;Mad;Mad;555649
150;SK0211555665;Malé Dvorníky;Malé Dvorníky;Malé Dvorníky;555665
151;SK0211555673;Veľké Dvorníky;Veľké Dvorníky;Veľké Dvorníky;555673
152;SK0211555720;Povoda;Povoda;Povoda;555720
153;SK0211555746;Vieska;Vieska;Vieska;555746
154;SK0211580554;Čenkovce;Čenkovce;Čenkovce;580554
155;SK0211580597;Kyselica;Kyselica;Kyselica;580597
156;SK0211582522;Potônske Lúky;Potônske Lúky;Potônske Lúky;582522
157;SK0212503665;Galanta;Galanta;Galanta;503665
158;SK0212503673;Abrahám;Abrahám;Abrahám;503673
159;SK0212503690;Čierna Voda;Čierna Voda;Čierna Voda;503690
160;SK0212503703;Čierny Brod;Čierny Brod;Čierny Brod;503703
161;SK0212503746;Dolné Saliby;Dolné Saliby;Dolné Saliby;503746
162;SK0212503754;Dolný Chotár;Dolný Chotár;Dolný Chotár;503754
163;SK0212503762;Gáň;Gáň;Gáň;503762
164;SK0212503771;Horné Saliby;Horné Saliby;Horné Saliby;503771
165;SK0212503789;Hoste;Hoste;Hoste;503789
166;SK0212503827;Jánovce;Jánovce;Jánovce;503827
167;SK0212503835;Jelka;Jelka;Jelka;503835
168;SK0212503843;Kajal;Kajal;Kajal;503843
169;SK0212503860;Košúty;Košúty;Košúty;503860
170;SK0212503878;Kráľov Brod;Kráľov Brod;Kráľov Brod;503878
171;SK0212503924;Mostová;Mostová;Mostová;503924
172;SK0212503959;Pata;Pata;Pata;503959
173;SK0212503967;Pusté Sady;Pusté Sady;Pusté Sady;503967
174;SK0212503975;Pusté Úľany;Pusté Úľany;Pusté Úľany;503975
175;SK0212504009;Sereď;Sereď;Sereď;504009
176;SK0212504017;Sládkovičovo;Sládkovičovo;Sládkovičovo;504017
177;SK0212504033;Šalgočka;Šalgočka;Šalgočka;504033
178;SK0212504041;Šintava;Šintava;Šintava;504041
179;SK0212504050;Šoporňa;Šoporňa;Šoporňa;504050
180;SK0212504076;Tomášikovo;Tomášikovo;Tomášikovo;504076
181;SK0212504084;Topoľnica;Topoľnica;Topoľnica;504084
182;SK0212504106;Trstice;Trstice;Trstice;504106
183;SK0212504114;Váhovce;Váhovce;Váhovce;504114
184;SK0212504122;Veľká Mača;Veľká Mača;Veľká Mača;504122
185;SK0212504131;Veľké Úľany;Veľké Úľany;Veľké Úľany;504131
186;SK0212504149;Veľký Grob;Veľký Grob;Veľký Grob;504149
187;SK0212504157;Vinohrady nad Váhom;Vinohrady nad Váhom;Vinohrady nad Váhom;504157
188;SK0212504173;Vozokany;Vozokany;Vozokany;504173
189;SK0212504181;Zemianske Sady;Zemianske Sady;Zemianske Sady;504181
190;SK0212555754;Matúškovo;Matúškovo;Matúškovo;555754
191;SK0212555789;Dolná Streda;Dolná Streda;Dolná Streda;555789
192;SK0212582638;Malá Mača;Malá Mača;Malá Mača;582638
193;SK0213506800;Bojničky;Bojničky;Bojničky;506800
